"","locus","n_samples"
"304","Assembly_000000025135_Contig_5_191_CINxNeolamarckia",30
"305","Assembly_000000025135_Contig_7_134_CINxNeolamarckia",34
"306","Assembly_000000025245_Contig_1_491_RUBxPipecacuanha",37
"307","Assembly_000000025245_Contig_4_241_RUBxPipecacuanha",11
"308","Assembly_000000025301_Contig_2_674_RUBxPipecacuanha",36
"309","Assembly_000000025441_Contig_5_156_CINxNeolamarckia",0
"310","Assembly_000000025441_Contig_8_219_CINxNeolamarckia",38
"311","Assembly_000000025463_Contig_1_181_CINxHamelia",2
"312","Assembly_000000025509_Contig_2_382_RUBxPmarginata",37
"313","Assembly_000000025639_Contig_1_474_RUBxPmarginata",38
"314","Assembly_000000025639_Contig_5_172_RUBxPmarginata",33
"315","Assembly_000000025717_Contig_1_494_RUBxPipecacuanha",37
"316","Assembly_000000025847_Contig_1_239_RUBxPipecacuanha",37
"317","Assembly_000000025847_Contig_1_501_CINxHamelia",32
"318","Assembly_000000025847_Contig_2_199_RUBxPipecacuanha",38
"319","Assembly_000000025847_Contig_2_248_CINxHamelia",37
"320","Assembly_000000025847_Contig_3_218_RUBxPipecacuanha",5
"321","Assembly_000000026049_Contig_1_391_RUBxPmarginata",38
"322","Assembly_000000026049_Contig_3_437_RUBxPmarginata",39
"323","Assembly_000000026109_Contig_1_404_RUBxPipecacuanha",38
"324","Assembly_000000026109_Contig_2_237_RUBxPipecacuanha",36
"325","Assembly_000000026185_Contig_1_539_RUBxPipecacuanha",37
"326","Assembly_000000026255_Contig_3_343_RUBxPmarginata",38
"327","Assembly_000000026255_Contig_5_273_RUBxPmarginata",38
"328","Assembly_000000026255_Contig_7_223_RUBxPmarginata",34
"329","Assembly_000000026267_Contig_1_521_CINxHamelia",35
"330","Assembly_000000026423_Contig_2_169_RUBxPipecacuanha",39
"331","Assembly_000000026423_Contig_5_211_RUBxPipecacuanha",36
"332","Assembly_000000026423_Contig_7_122_RUBxPipecacuanha",34
"333","Assembly_000000026429_Contig_3_253_RUBxPmarginata",16
"334","Assembly_000000026485_Contig_3_182_RUBxPipecacuanha",28
"335","Assembly_000000026529_Contig_1_356_RUBxPipecacuanha",35
"336","Assembly_000000026597_Contig_1_189_RUBxPmarginata",38
"337","Assembly_000000026749_Contig_1_825_RUBxPmarginata",38
"338","Assembly_000000026879_Contig_1_155_RUBxPipecacuanha",34
"339","Assembly_000000026879_Contig_3_352_RUBxPipecacuanha",35
"340","Assembly_000000027015_Contig_1_299_RUBxPipecacuanha",35
"341","Assembly_000000027015_Contig_2_214_RUBxPipecacuanha",33
"342","Assembly_000000027015_Contig_4_154_RUBxPipecacuanha",36
"343","Assembly_000000027041_Contig_1_477_CINxNeolamarckia",12
"344","Assembly_000000027041_Contig_3_200_CINxNeolamarckia",21
"345","Assembly_000000027133_Contig_1_462_CINxNeolamarckia",32
"346","Assembly_000000027133_Contig_2_359_CINxNeolamarckia",28
"347","Assembly_000000027329_Contig_1_632_CINxHamelia",39
"348","Assembly_000000027329_Contig_3_321_CINxHamelia",35
"349","Assembly_000000027329_Contig_4_179_CINxHamelia",0
"350","Assembly_000000027329_Contig_6_131_CINxHamelia",30
"351","Assembly_000000027361_Contig_2_263_CINxHamelia",28
"352","Assembly_000000027577_Contig_1_689_RUBxPipecacuanha",39
"353","Assembly_000000027577_Contig_2_286_RUBxPipecacuanha",32
"354","Assembly_000000027661_Contig_5_168_RUBxPipecacuanha",35
"355","Assembly_000000027703_Contig_3_739_RUBxPipecacuanha",38
"356","Assembly_000000027721_Contig_5_150_CINxHamelia",31
"357","Assembly_000000027899_Contig_1_183_RUBxPipecacuanha",30
"358","Assembly_000000027899_Contig_2_193_RUBxPipecacuanha",38
"359","Assembly_000000027899_Contig_3_195_RUBxPipecacuanha",37
"360","Assembly_000000027899_Contig_4_201_RUBxPipecacuanha",33
"361","Assembly_000000027899_Contig_5_168_RUBxPipecacuanha",31
"362","Assembly_000000028137_Contig_2_276_RUBxPipecacuanha",38
"363","Assembly_000000028193_Contig_2_365_RUBxPmarginata",38
"364","Assembly_000000028227_Contig_1_454_RUBxPipecacuanha",38
"365","Assembly_000000028287_Contig_2_221_RUBxPipecacuanha",37
"366","Assembly_000000028387_Contig_2_282_RUBxPipecacuanha",38
"367","Assembly_000000028387_Contig_4_184_RUBxPipecacuanha",12
"368","Assembly_000000028581_Contig_2_188_CINxNeolamarckia",29
"369","Assembly_000000028581_Contig_3_155_CINxNeolamarckia",36
"370","Assembly_000000028693_Contig_5_472_RUBxPmarginata",38
"371","Assembly_000000028709_Contig_3_190_CINxHamelia",17
"372","Assembly_000000028735_Contig_1_956_RUBxPipecacuanha",39
"373","Assembly_000000028741_Contig_5_316_RUBxPipecacuanha",37
"374","Assembly_000000028747_Contig_1_667_RUBxPmarginata",37
"375","Assembly_000000028891_Contig_4_176_RUBxPmarginata",34
"376","Assembly_000000028923_Contig_10_373_RUBxPipecacuanha",38
"377","Assembly_000000028923_Contig_12_307_RUBxPipecacuanha",38
"378","Assembly_000000028923_Contig_13_228_RUBxPipecacuanha",37
"379","Assembly_000000028923_Contig_19_178_RUBxPipecacuanha",36
"380","Assembly_000000028923_Contig_22_125_RUBxPipecacuanha",32
"381","Assembly_000000028923_Contig_3_132_RUBxPipecacuanha",30
"382","Assembly_000000028923_Contig_5_298_RUBxPipecacuanha",39
"383","Assembly_000000028923_Contig_6_348_RUBxPipecacuanha",39
"384","Assembly_000000028923_Contig_7_348_RUBxPipecacuanha",39
"385","Assembly_000000028923_Contig_9_229_RUBxPipecacuanha",32
"386","Assembly_000000029403_Contig_2_208_RUBxPipecacuanha",22
"387","Assembly_000000029403_Contig_3_361_RUBxPipecacuanha",35
"388","Assembly_000000029443_Contig_1_520_RUBxPmarginata",39
"389","Assembly_000000029443_Contig_2_240_RUBxPmarginata",37
"390","Assembly_000000029491_Contig_5_192_RUBxPipecacuanha",37
"391","Assembly_000000029559_Contig_3_231_CINxNeolamarckia",36
"392","Assembly_000000029583_Contig_17_143_RUBxPipecacuanha",4
"393","Assembly_000000029583_Contig_2_696_RUBxPipecacuanha",38
"394","Assembly_000000029583_Contig_3_152_RUBxPipecacuanha",2
"395","Assembly_000000029583_Contig_4_395_RUBxPipecacuanha",38
"396","Assembly_000000029583_Contig_6_244_RUBxPipecacuanha",33
"397","Assembly_000000029585_Contig_3_635_RUBxPipecacuanha",39
"398","Assembly_000000029657_Contig_1_220_RUBxPipecacuanha",30
"399","Assembly_000000029677_Contig_1_141_CINxNeolamarckia",36
"400","Assembly_000000029773_Contig_1_422_RUBxPipecacuanha",34
"401","Assembly_000000029849_Contig_1_465_CINxNeolamarckia",36
"402","Assembly_000000029849_Contig_2_980_CINxNeolamarckia",30
"403","Assembly_000000029897_Contig_1_288_RUBxPipecacuanha",38
"404","Assembly_000000029897_Contig_3_158_RUBxPipecacuanha",36
"405","Assembly_000000029907_Contig_1_406_RUBxPmarginata",38
"406","Assembly_000000029929_Contig_1_180_RUBxPipecacuanha",3
"407","Assembly_000000029929_Contig_2_467_RUBxPipecacuanha",37
"408","Assembly_000000029947_Contig_3_218_RUBxPipecacuanha",38
"409","Assembly_000000029977_Contig_1_200_RUBxPipecacuanha",34
"410","Assembly_000000029981_Contig_1_680_CINxNeolamarckia",38
